ATTRIBUTE_plant_part	ATTRIBUTE_species	G1	G2	G3	G4	G5	G6	GNPSGROUP:Anacardium occidentale	GNPSGROUP:Haemotostaphis barteri	GNPSGROUP:Lannea barteri	GNPSGROUP:Mangifera indica	GNPSGROUP:Pseudospondias microcarpa	GNPSGROUP:Sclerocarya birrea	GNPSGROUP:Spondias dulcis	GNPSGROUP:fruits	GNPSGROUP:leaves	GNPSGROUP:na	GNPSGROUP:root bark	GNPSGROUP:stem bark	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	14675.704593895134	32050.699903783752	32957.72309912452	49685.70348701284	192738.427403266	16641.933084074237	20696.447495515895	69873.33646767537	37385.77460980477	55346.244856236735	85157.34872340897	49057.592114730214	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1217.0","main.cluster index_upperinput":"1217.0"}	This Node is a Singleton	N/A	N/A	N/A	2.7829	2.7829	0	N/A	N/A	1547809.5688844668	27	1217	-1	27	306.1911	1	306.1911	1547809.5688844668
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Lannea barteri,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	5590.226780849833	0.0	2386.1468515234787	2062495.2260665435	420.955280997435	1896.1581964299346	0.0	0.0	740369.019437604	64181.911929800204	64035.15958006882	83993.97738376005	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1218.0","main.cluster index_upperinput":"1218.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=51&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	1.8960	1.8960	0	N/A	N/A	6539696.654459031	9	1218	51	9	407.0968	1	407.0968	6539696.654459031
na,stem bark	Pseudospondias microcarpa,na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111261.27119495439	0.0	0.0	0.0	0.0	46088.67213162272	0.0	63577.86925425965	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1219.0","main.cluster index_upperinput":"1219.0"}	This Node is a Singleton	N/A	N/A	N/A	6.6546	6.6546	0	N/A	N/A	675488.4454379312	3	1219	-1	3	513.2852	1	513.2852	675488.4454379312
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	349998.37988831213	313828.2782134584	96323.36383294202	11989.318839337568	130937.20721156309	30437.40716927277	21028.43913089304	191982.65026785235	44318.66674036486	8061833.175384464	115335.19853207878	240714.95469913463	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1220.0","main.cluster index_upperinput":"1220.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=171&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	8.3956	8.3956	0	N/A	N/A	43303730.26699122	27	1220	171	27	634.4529	1	634.4529	43303730.26699122
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	15681.737841904136	25920.651723401184	7865.915418617822	49658.69135939961	511459.16628239246	19865.38534919443	37159.2228904432	1591525.9191610557	75635.26638665938	111594.69557380385	48927.61260354482	7260.772397995115	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1221.0","main.cluster index_upperinput":"1221.0"}	This Node is a Singleton	N/A	N/A	N/A	6.4782	6.4782	0	N/A	N/A	3072264.956747471	25	1221	-1	25	367.2461	1	367.2461	3072264.956747471
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	437904.7882474759	4294217.801618883	1898210.7701335987	715166.0421551815	298943.37809538835	873261.3899741117	1048268.8987881849	74822.22678312747	2721881.4495732463	214311.69359305355	542567.7538670833	867270.847752632	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1222.0","main.cluster index_upperinput":"1222.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=29&task=1ad34e72edcf45cbb40c79344f28c967&show=true	InChI=1S/C19H28O10/c20-8-12-14(23)15(24)17(29-18-16(25)13(22)11(21)9-27-18)19(28-12)26-7-6-10-4-2-1-3-5-10/h1-5,11-25H,6-9H2/t11-,12-,13+,14-,15+,16-,17-,18+,19-/m1/s1	(2S,3R,4S,5R)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(2-phenylethoxy)oxan-3-yl]oxyoxane-3,4,5-triol	0.867334	2.9403	2.9403	0	N/A	CCMSLIB00004699083	30068421.053099126	24	1222	29	24	434.2024	1	434.2024	30068421.053099126
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	1299.8900846521597	1416.6045353085865	856.408584323347	14320.220334013386	247341.66122300355	4942.959765147006	8264.084791281603	816835.5063850097	31828.959895029275	31576.29038408201	3406.592911971495	2740.3961631681987	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1223.0","main.cluster index_upperinput":"1223.0"}	This Node is a Singleton	N/A	N/A	N/A	7.2834	7.2834	0	N/A	N/A	1240548.6010966024	14	1223	-1	14	640.3463	1	640.3463	1240548.6010966024
leaves,na,fruits,stem bark	Pseudospondias microcarpa,na,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	56688.066282779124	0.0	0.0	0.0	895.5952983782901	0.0	0.0	3582.3811935131603	22437.473143329677	416501.1419953517	0.0	1857.4124064328028	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1224.0","main.cluster index_upperinput":"1224.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=81&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	3.7610	3.7610	0	N/A	N/A	2256152.290018609	7	1224	81	7	917.6056	2	459.3028	2256152.290018609
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	85641.1668440492	92210.27938807545	81682.60575146691	81323.89366791643	67803.67409473012	82972.12357984475	75467.64950721814	78196.03018544657	82538.87666497105	222438.6776416504	82200.27212688023	76819.68298088967	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1225.0","main.cluster index_upperinput":"1225.0"}	This Node is a Singleton	N/A	N/A	N/A	8.3486	8.3486	0	N/A	N/A	2881301.2408028855	27	1225	-1	27	358.2507	1	358.2507	2881301.2408028855
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	1996.2091593725834	4630.870826527961	11066.853253063957	22479.970174664944	340931.054700047	10840.439035193902	549.2312098464344	5101.531858271859	17627.243400113537	99403.64787544789	8884.242525178084	189676.14377726917	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1226.0","main.cluster index_upperinput":"1226.0"}	This Node is a Singleton	N/A	N/A	N/A	3.8874	3.8874	0	N/A	N/A	2015433.1791534373	21	1226	-1	21	337.1980	1	337.1980	2015433.1791534373
leaves,na,stem bark	na,Haemotostaphis barteri,Spondias dulcis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1563.4409411103395	0.0	0.0	0.0	0.0	2385159.9744618298	0.0	1022606.0508332641	28781.008556651854	0.0	275.4129108531409	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1227.0","main.cluster index_upperinput":"1227.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=99&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	2.8691	2.8691	0	N/A	N/A	7304075.28899208	5	1227	99	5	402.1032	1	402.1032	7304075.28899208
na,stem bark	Pseudospondias microcarpa,na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240198.6531613119	0.0	0.0	0.0	0.0	129722.65803110269	0.0	137256.37323503537	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1228.0","main.cluster index_upperinput":"1228.0"}	This Node is a Singleton	N/A	N/A	N/A	7.4783	7.4783	0	N/A	N/A	1609407.9028007612	3	1228	-1	3	632.3804	1	632.3804	1609407.9028007612
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	269989.34912522946	227129.29270028486	112902.73790032079	68224.4010662328	159780.20525896107	75058.65962211539	65412.111865488296	134898.85259213866	90964.3098518873	4165354.059519736	118754.57410759352	213191.34822376494	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1229.0","main.cluster index_upperinput":"1229.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=171&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	8.4360	8.4360	0	N/A	N/A	23922040.775473535	27	1229	171	27	458.3483	1	458.3483	23922040.775473535
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	3946.3032497085064	9322.694635280295	1585.4501326435611	5555.6470340355645	14573.707495897448	137314.96793583865	18435.18376574985	1342.2752981583558	76958.30300666312	9340.988927499617	490.08645048193756	6184.938392169326	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1230.0","main.cluster index_upperinput":"1230.0"}	This Node is a Singleton	N/A	N/A	N/A	3.7317	3.7317	0	N/A	N/A	633480.5148808572	14	1230	-1	14	390.2483	1	390.2483	633480.5148808572
na,stem bark	Pseudospondias microcarpa,na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207122.30744344328	0.0	0.0	0.0	0.0	10119.780634999937	0.0	118355.60425339616	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1231.0","main.cluster index_upperinput":"1231.0"}	This Node is a Singleton	N/A	N/A	N/A	4.9464	4.9464	0	N/A	N/A	879088.1329487727	3	1231	-1	3	662.3161	1	662.3161	879088.1329487727
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	169.61861162721223	3931.5256474175635	4917.639741590797	212.05572653020695	16092.968209854798	258623.738277596	1129.5458043630128	0.0	113933.20360722842	23318.57295259072	1380.4709550722444	9161.21747581271	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1232.0","main.cluster index_upperinput":"1232.0"}	This Node is a Singleton	N/A	N/A	N/A	9.6008	9.6008	0	N/A	N/A	987917.1090297473	17	1232	-1	17	428.3735	1	428.3735	987917.1090297473
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	224683.28838679884	281117.2609497857	7347.550045806646	14923.146960320371	814541.1205960794	31212.22425163852	185782.47939665843	139655.75588682698	629813.313955046	73209.71105394364	39400.052773719246	95601.85848130849	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1233.0","main.cluster index_upperinput":"1233.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=319&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	2.6699	2.6699	0	N/A	N/A	5859410.887627061	18	1233	319	18	408.2591	1	408.2591	5859410.887627061
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	2291.431515527322	4089922.2839822522	9103.756932775237	6387.3272639063	1096276.269324226	4377.095681610796	1867167.5001926378	2263431.4065355067	2816096.145847108	310746.67680490087	22307.960201919337	27227.58787490499	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1234.0","main.cluster index_upperinput":"1234.0"}	This Node is a Singleton	N/A	N/A	N/A	2.2609	2.2609	0	N/A	N/A	23876586.648027536	19	1234	-1	19	292.1391	1	292.1391	23876586.648027536
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	23270.79442035114	17765.50439949852	22907.408284887122	35953.722678108934	123366.63609722501	9493.402134072943	24931.78724210229	35231.52851439773	40495.391138593564	293114.1103708354	26615.090029314444	55918.50073945844	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1235.0","main.cluster index_upperinput":"1235.0"}	This Node is a Singleton	N/A	N/A	N/A	8.5098	8.5098	0	N/A	N/A	2362004.9537201403	24	1235	-1	24	335.2584	1	335.2584	2362004.9537201403
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	580611.4579920904	357390.95007029903	481333.03431244596	290130.6863260803	226233.48440570256	838222.7372210859	210836.25459354752	27307.23359764292	1091218.3879349488	122433.2074717852	126102.38642642292	90279.52072031613	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1236.0","main.cluster index_upperinput":"1236.0"}	This Node is a Singleton	N/A	N/A	N/A	1.7483	1.7483	0	N/A	N/A	9792675.336528385	23	1236	-1	23	287.1106	1	287.1106	9792675.336528385
leaves,na,stem bark,root bark	na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2362.7286203012327	2927568.8223455604	11649.749540380972	0.0	1653.383701366164	10949.918734499961	0.0	528027.1162654109	78467.19423992741	490879.15244023374	247172.8468409733	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1237.0","main.cluster index_upperinput":"1237.0"}	This Node is a Singleton	N/A	N/A	N/A	3.4817	3.4817	0	N/A	N/A	9254889.78002596	10	1237	-1	10	563.1743	1	563.1743	9254889.78002596
leaves,na,root bark	na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4007.7911624773405	240.0226471745756	631.9903710859218	0.0	813.2853806420768	343518.47040305735	0.0	149391.24411143627	3265.0389074185405	270.85301617968076	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1238.0","main.cluster index_upperinput":"1238.0"}	This Node is a Singleton	N/A	N/A	N/A	4.5395	4.5395	0	N/A	N/A	1063959.8744304045	7	1238	-1	7	541.2621	1	541.2621	1063959.8744304045
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	128217.12743115624	148537.0795795666	235152.54111431466	58335.77666054747	81213.9778245849	98813.34152990341	218198.8755688981	43489.690953273996	110133.07575828784	386320.0551408492	139121.29956677725	171192.8312461099	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1239.0","main.cluster index_upperinput":"1239.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=561&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	10.1698	10.1698	0	N/A	N/A	4918220.412655746	27	1239	561	27	1245.9070	2	623.4535	4918220.412655746
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Mangifera indica,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	3183.0320536166655	181.0958804150301	0.0	597603.4890961905	2883.4473937270923	0.0	0.0	0.0	41604.275784318765	17222.509126443703	11661.713605782488	205939.2449906952	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1240.0","main.cluster index_upperinput":"1240.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=273&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	9.4363	9.4363	0	N/A	N/A	1900549.1862977939	8	1240	273	8	530.3844	1	530.3844	1900549.1862977939
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	35251.08131325854	34501.644123735634	41728.37847685104	79269.57699225257	2313695.257466018	36603.11054443474	55985.00007147333	50970.958154897715	74584.53049201357	380166.9245646526	48679.93993951113	1312996.4504649313	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1241.0","main.cluster index_upperinput":"1241.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=467&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	5.1402	5.1402	0	N/A	N/A	12005632.027253358	27	1241	467	27	251.1633	1	251.1633	12005632.027253358
leaves,na,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Mangifera indica,Sclerocarya birrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16477.27321086606	1704.144518945294	3902.4031274086824	860.5348105136788	284041.2995990472	0.0	0.0	127229.21128038682	5735.687359039955	2168.198429470378	2290.8046631222996	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1242.0","main.cluster index_upperinput":"1242.0"}	This Node is a Singleton	N/A	N/A	N/A	2.0650	2.0650	0	N/A	N/A	950495.9374060563	10	1242	-1	10	378.2120	1	378.2120	950495.9374060563
na,stem bark,root bark	na,Lannea barteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2502009.257954444	0.0	0.0	0.0	0.0	0.0	0.0	87566.26120104406	743587.8038874792	328701.8780929966	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1243.0","main.cluster index_upperinput":"1243.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	4.5243	4.5243	0	N/A	N/A	7943859.079868551	4	1243	18	4	515.1701	1	515.1701	7943859.079868551
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	107186.82444066564	13086.532229578253	477743.07722303434	0.0	7948.670032335883	0.0	21851.806537068118	31794.68012934353	15276.22041957366	18008.723390883413	66016.2513834839	184365.34552423374	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1244.0","main.cluster index_upperinput":"1244.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=234&task=1ad34e72edcf45cbb40c79344f28c967&show=true	"InChI=1S/C21H20O10/c22-7-15-18(26)19(27)20(28)21(31-15)30-11-3-1-9(2-4-11)12-8-29-14-6-10(23)5-13(24)16(14)17(12)25/h1-6,8,15,18-24,26-28H,7H2/t15-,18-,19+,20-,21-/m1/s1"	Sophoricoside CollisionEnergy:102040	0.752162	2.2238	2.2238	0	O=c1c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)coc2cc(O)cc(O)c12	CCMSLIB00010110067	1981443.0183747998	11	1244	234	11	433.1123	1	433.1123	1981443.0183747998
na,stem bark	Pseudospondias microcarpa,na	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170132.1202722005	0.0	0.0	0.0	0.0	61243.977943011414	0.0	97218.35444125743	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1245.0","main.cluster index_upperinput":"1245.0"}	This Node is a Singleton	N/A	N/A	N/A	5.8853	5.8853	0	N/A	N/A	986748.3708038591	3	1245	-1	3	567.2948	1	567.2948	986748.3708038591
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	164917.09957465393	927169.8527584621	727526.7814807524	131535.56785816752	386963.1297346028	78702.24920333746	1811426.1687439152	950189.6154229231	1628372.3446874926	149338.80596053053	86327.00060007756	16942.949337194626	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1246.0","main.cluster index_upperinput":"1246.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=176&task=1ad34e72edcf45cbb40c79344f28c967&show=true	InChI=1S/C27H46O9/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(30)34-19-21(29)20-35-27-26(33)25(32)24(31)22(18-28)36-27/h3-4,6-7,9-10,21-22,24-29,31-33H,2,5,8,11-20H2,1H3/b4-3-,7-6-,10-9-	NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester, (9Z,12Z,15Z)-	0.736151	7.3813	7.3813	0	CC\C=C/C/C=C\C\C=C/CCCCCCCC(=O)OCC(O)COC1OC(CO)C(O)C(O)C1O	CCMSLIB00000852864	13818379.707598928	21	1246	176	21	532.3483	1	532.3483	13818379.707598928
leaves,na,fruits,stem bark,root bark	Pseudospondias microcarpa,na,Haemotostaphis barteri,Lannea barteri,Spondias dulcis,Mangifera indica,Sclerocarya birrea,Anacardium occidentale	0.0	0.0	0.0	0.0	0.0	0.0	7047.348522653406	1203.8808691367576	29268.898708164757	230639.2778349465	55527.33589443303	45734.01672394371	3101.4960184430784	16284.315334962304	148633.81793937078	15612.057774007397	8317.161284985612	8307.561386305679	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1247.0","main.cluster index_upperinput":"1247.0"}	This Node is a Singleton	N/A	N/A	N/A	4.8038	4.8038	0	N/A	N/A	1251154.3884796337	17	1247	-1	17	279.1205	1	279.1205	1251154.3884796337
leaves,na,stem bark	Pseudospondias microcarpa,na,Mangifera indica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2895.02294081425	305992.58548190916	0.0	0.0	0.0	1713.1202083611574	121846.28258588539	0.0	174380.50989879304	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=1ad34e72edcf45cbb40c79344f28c967&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1248.0","main.cluster index_upperinput":"1248.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=41&task=1ad34e72edcf45cbb40c79344f28c967&show=true	N/A	N/A	N/A	6.4046	6.4046	0	N/A	N/A	1841886.8236795063	5	1248	41	5	424.3059	1	424.3059	1841886.8236795063
